step_size, num_rrt_iterations, rrt_path_size, rrt_path_length, std_num_iter, std_path_length
5,1315.0,239.733333333,1198.66666667,1368.68136893,48.1505779915
6,1261.7,200.833333333,1205.0,1390.89584503,39.409506409
7,1188.6,179.433333333,1256.03333333,1088.10758216,39.2390404935
8,1216.03333333,149.466666667,1195.73333333,1683.2279843,29.1745440922
9,889.333333333,137.066666667,1233.6,1106.05534978,29.2597562077
10,874.666666667,123.233333333,1232.33333333,969.870070691,25.4824934271
11,850.2,110.566666667,1216.23333333,1128.50854885,22.7121163674
12,722.466666667,96.5666666667,1158.8,1235.67052113,16.4854864765
13,430.6,87.5333333333,1137.93333333,512.367432813,13.13781941
14,463.6,86.1,1205.4,563.792551724,16.9428043927
15,697.133333333,82.7,1240.5,1158.36480268,17.1547721319
16,626.333333333,73.7666666667,1180.26666667,911.45065629,13.3898657853
